Net Status Report
Filename     : E:\bms bcm\feisi\整车控制器 板子 原理图 改后\VCU_1_3\PCB图.PcbDoc
Date         : 2016/8/23
Time         : 15:09:52
Time Elapsed : 00:00:00

Nets, Layer, Length
    RX, Signal Layers Only, 0mm
    RXCAN0, Signal Layers Only, 0mm
    RXCAN1, Signal Layers Only, 0mm
    RXCAN2, Signal Layers Only, 0mm
    SGND, Signal Layers Only, 95.1672mm
    THRO1, Signal Layers Only, 0mm
    THRO2, Signal Layers Only, 0mm
    TX, Signal Layers Only, 0mm
    TXCAN0, Signal Layers Only, 0mm
    TXCAN1, Signal Layers Only, 0mm
    TXCAN2, Signal Layers Only, 0mm
count : 266
